INDY PASS ROSTER,,"DISCOUNT (no included tickets) at Indy Allied partners (Mont Ripley, Cherry Peak, King Pine)
DAYS SHARED BETWEEN: Mountain High East/West | Loveland and Loveland Valley | Björkliden and Riksgränsen",,,,,,,,,,,,,,,,,,,,,,,,,"PASS ACCESS KEY: 2/3=2/3 Days | S=Shared Days | 
B=Blackouts Apply | R=Reservations required | 
,Baldy Mountain Resort,2023,"5,663 ","6,965 ","1,302 ",600,275,Independent,Public w/Aerial Lifts,,,,,,,,,1,,1,1,,,,,3,2,2,,,Canada - West,,,Lake Louise,2018,"5,400 ","8,650 ","3,250 ","4,200",179,Independent,,1,,,,2,,4,2,1,,,,,,3,13,7S,5SB,"1-4, B, S",2,Canada - West,,,,Jiminy Peak,2025,"1,230 ","2,380 ","1,150 ",167.4,100,Fairbank Group,,,,,,1,,,2,3,1,,,,,2,9,2B,,,,U.S. - East,,U.S. - Michigan,The Highlands ,2018,805 ,"1,318 ",513 ,435,140,Boyne Resorts,,,,,,1,,1,3,1,,,,,1,2,9,7,5B,"1-4, B, S",,U.S. - Midwest,,Canada - Alberta,Nakiska,2017,"5,003 ","7,415 ","2,411 ","1,021",100,Resorts of the Canadian Rockies,,,,,,,,3,,,1,,,1,,,5,7S,,,,,,,,,4-7,,,,Canada - West,,,Marmot Basin,2022,,,"3,000 ","1,720",173,Independent,,,,,,,,3,2,1,,,,,,,6,2,,,,Canada - West,,,U.S. - New York,Whiteface,2025,"1,220 ","4,386 ","3,166 ",299,181,New York State,,1,,,,,,2,3,1,2,,,,,2,11,2,,,,U.S. - East,,,,Sommet Olympia,,967 ,"1,523 ",556 ,80,,Les Sommets,,,,,,,,,3,,,2,,,,1,6,,,,,Canada - East,1-2,,U.S. - Colorado,Loveland Basin,"10,800 ","12,690 ","1,890 ","1,800",337,,,,,,,,1,2,4,,,,,,,7,3S,,,,,,,U.S. - West,Yes,,,,,Dodge Ridge,2022,"6,600 ","8,200 ","1,600 ",862,300,California Mountain Resort Company,Public w/Aerial Lifts,,,,,,,,,1,3,3,1,,,1,2,11,3B,2B,2,,$579,U.S. - West,,,,Sunday River,2018,800 ,"3,150 ","2,350 ","1,184",167,Boyne Resorts,,,,,1,1,1,2,5,5,1,1,,,,3,20,U,"U, B","U, B, M",U,"U, B",U,"U, B","U, After 12 p.m.",U,2-5,U,"1, -, 7, S",7,5B,"1-4, B, S",2
,Big White,2023,"4,951 ","7,608 ","2,657 ","2,765",294,Independent,Public w/Aerial Lifts,,1,,,,1,,4,2,,3,1,,,,,12,2B,2,,,Canada - West,,,Mt. Norquay,2018,"5,350 ","6,998 ","1,648 ",190,120,Independent,,,,,,,,1,2,,1,,,,,2,6,7S,5SB,"1-4, B, S",,Canada - West,,,U.S. - Minnesota,Buck Hill,2025,919 ,"1,225 ",306 ,45,60,Independent,,,,,,,,,2,1,,,,,4,2,9,2B,,,,U.S. - Midwest,,U.S. - Minnesota,Buck Hill,2025,919 ,"1,225 ",306 ,45,60,Independent,,,,,,,,,2,1,,,,,4,2,9,2B,,,,U.S. - Midwest,,Canada - British Columbia,Fernie,2017,"3,450 ","7,000 ","3,550 ","2,500",360,Resorts of the Canadian Rockies,,,,,,,,2,2,3,,1,,1,,1,10,7S,,,,,,,,,4-7,,,,Canada - West,,Canada - British Columbia,Panorama,2020,"3,773 ","7,792 ","4,265  Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Wyoming,Grand Targhee,2020,"7,650 ","9,862 ","2,212 ","2,602",465,Independent,,,,,,1,,2,2,,,,,,,1,6,2,,,,U.S. - West,,,,Sommet Saint-Sauveur (inc. Versant Avila),,666 ,"1,365 ",699 ,142,100,Les Sommets,,,,,,1,,3,2,,1,,,,,1,8,,,,,Canada - East,1-2,,U.S. - Colorado,Loveland Valley,"10,640 ","11,450 ",810 ,,,,,,,,,,,2,,,,,,,2,4,3S,,,,,,,U.S. - West,Yes,,,,,Mountain  High: West,2022,"7,000 ","8,000 ","1,000 ",145,117,California Mountain Resort Company,Public w/Aerial Lifts,,,,,,,,1,,3,2,,,,,2,8,3SB,2SB,2S,,$579,U.S. - West,2013,,U.S. - Michigan,Boyne Mountain,2018,720 ,"1,140 ",420 ,435,140,Boyne Resorts,,,,,1,1,,,4,1,2,,,,,1,10,3,,,,,,,,,,U,"1, -, 7, S",7,5B,"1-4, B, S",
,Fairmont Hot Springs,2023,"4,200 ","5,200 ","1,000 ",88,100,Independent,Public w/Aerial Lifts,,,,,,,,,,1,,,,1,,,2,2,2,,,Canada - West,,Canada - British Columbia,Cypress,2018,,,"2,010 ",600,425,Boyne Resorts,,,,,,,,2,3,,1,,,,,1,7,7,5B,"1-4, B, S",,Canada - West,,,,Giants Ridge,2026,"1,472 ","1,972 ",500 ,202,62,Independent,,,,,,,,1,1,1,2,,,,,2,7,2B,,,,U.S. - Midwest,,U.S. - Minnesota,Giants Ridge,2026,"1,472 ","1,972 ",500 ,202,62,Independent,,,,,,,,1,1,1,2,,,,,2,7,2B,,,,U.S. - Midwest,,,Kicking Horse,2017,"3,904 ","8,038 ","4,314 ","3,400",288,Resorts of the Canadian Rockies,,1,,,,,,,2,,1,,,,,,4,7S,,,,,,,,,4-7,,,,Canada - West,,,Revelstoke,2013,"1,680 ","7,300 ","5,620 ","3,121",540,Northland Properties Corporation,,1,,,,,,2,1,,,,,,,1,5,2,7,5B,"1-4, B, S",Canada - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Connecticut,Mount Southington,,200 ,554 ,354 ,51,40,Independent,,,,,,,,,,3,1,,,,,3,7,,,,,U.S. - East,1-2,,U.S. - Colorado,Monarch,"10,727 ","11,824 ","1,097 ","1,017",308,,,,,,,,,1,1,4,,,,,2,8,3,3,3,,,,,U.S. - West,Yes,,,,,Mountain High: East,2022,"6,600 ","8,200 ","1,600 ",145,117,California Mountain Resort Company,Public w/Aerial Lifts,,,,,,,,1,1,,2,,,,,1,5,3SB,2SB,2S,,$579,U.S. - West,2013,,,The Highlands ,2018,805 ,"1,318 ",513 ,435,140,Boyne Resorts,,,,,,1,,1,3,1,,,,,1,2,9,3,,,,,,,,,,U,"1, -, 7, S",7,5B,"1-4, B, S",
,Hudson Bay Mountain,2023,"3,701 ","5,499 ","1,798 ",700,160,Independent,Public w/Aerial Lifts,,,,,,,,,,1,,2,,,,,3,2,2,,,Canada - West,,,Grouse Mountain,2025,899 ,"4,101 ","3,202 ",212,220,Northland Properties Corporation,1,1,,,,,,2,2,,,,,,1,1,8,2B,,,,Canada - West,,,,Wild Mountain,2025,813 ,"1,113 ",300 ,100,50,Independent,,,,,,,,,4,,,,,,4,1,9,2B,,,,U.S. - Midwest,,U.S. - Minnesota,Lutsen Mountains,2026,863 ,"1,688 ",825 ,"1,000",120,Midwest Family Ski Resorts,,1,,,,2,,,,,3,,,,,1,7,7,"5, B","1-4, B, S",,U.S. - Midwest,,,Kimberley,2017,"4,035 ","6,503 ","2,465 ","1,800",156,Resorts of the Canadian Rockies,,,,,,,,1,,1,1,1,,,,,4,7S,,,,,,,,,4-7,,,,Canada - West,,,Sun Peaks,2020,"4,117 ","7,060 ","2,894 ","4,270",237,Nippon Cable,,,,,,,,4,4,,,,,2,,4,14,2,7,5B,"1-4, B, S",Canada - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Maine,Pleasant Mountain,,600 ,"1,900 ","1,300 ",249,110,Boyne Resorts,,,,,,,,1,1,2,,,,,,2,6,,,,,U.S. - East,1-2,,U.S. - Colorado,Purgatory,"8,750 ","10,822 ","2,072 ","1,635",261,,,,,,1,,2,,4,3,,,,,2,12,U,12SB,4SB,,,,,U.S. - West,Yes,,,,,Mt. Shasta,2019,"5,500 ","7,536 ","2,036 ",635,157,Independent,Public w/Aerial Lifts,,,,,,,,,1,3,,,,,,2,6,3B,2B,2,,$429,U.S. - West,2023,,U.S. - Montana,Big Sky,2018,"6,800 ","11,166 ","4,366 ","5,850",291,Boyne Resorts,1,2,,,2,2,,4,3,9,4,,,3,1,8,39,3,,,,,,,,,,U,"1, -, 7, S, B",7,5B,"1-4, B, S",2
,Manning Park,2021,"4,439 ","5,873 ","1,434 ",140,300,Independent,Public w/Aerial Lifts,,,,,,,,,1,,1,1,,,,,3,2B,2,1-3B,,Canada - West,,,Panorama,2022,"3,773 ","7,792 ","4,265 ","2,975",204,Independent,,,1,,,,,2,2,1,1,,,1,,2,10,7,5B,"1-4, B, S",2,Canada - West,,,U.S. - New Hampshire,Cranmore,2025,800 ,"2,000 ","1,200 ",170,120,Fairbank Group,,,,,,,,1,1,2,1,,,,,2,7,2B,,,,U.S. - East,,U.S. - Minnesota,Wild Mountain,2025,813 ,"1,113 ",300 ,100,50,Independent,,,,,,,,,4,,,,,,4,1,9,2B,,,,U.S. - Midwest,,,Whistler Blackcomb,2016,"2,215 ","7,159 ","5,280 ","8,171",404,Vail Resorts,,5,1,,1,4,,8,,3,,2,,,,7,31,U,10SB,,,,,,,,1-7,,,U,Canada - West,,Canada - Quebec,Bromont,2024,541 ,"1,693 ","1,152 ",450,210­,Independent,,,,,,,1,2,4,,1,,,,,3,11,2,,,,Canada - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Massachusetts,Butternut,,800 ,"1,800 ","1,000 ",110,110,Murdock Family,,,,,,,,,5,,,,,,,4,9,,2B,,,U.S. - East,1-2B,,U.S. - Nevada,Lee Canyon,"8,510 ","9,370 ",860 ,195,129,,,,,,,,,4,1,,,,,1,1,7,U,12SB,4SB,,,,,U.S. - West,Yes,,,,,Sierra-at-Tahoe,,"6,640 ","8,852 ","2,212 ","2,000",401,Independent,Public w/Aerial Lifts,,,,,,,,3,,1,5,,,,,5,14,3B,,,,$659,U.S. - West,2013,,U.S. - New Hampshire,Loon,2018,950 ,"3,050 ","2,100 ",403,160,Boyne Resorts,,1,1,,1,,,3,2,,4,,,,,3,15,U,"U, B","U, B, M",U,"U, B",U,"U, B","U, After 12 p.m.",U,2-5,U,"1, -, 7, S","7, R","5, R, B","1-4, B, S",
,Mount Washington Alpine,2024,"3,556 ","5,217 ","1,657 ","1,700",457,Pacific Group Resorts,Public w/Aerial Lifts,,,,,,1,,1,2,1,,,,,,,5,2,2,,,Canada - West,,,Red Mountain,2020,"3,888 ","6,801 ","2,919 ","3,850",300,Independent,,,,,,,,,2,3,1,1,,,,1,8,7,5B,"1-4, B, S",,Canada - West,,,U.S. - Wisconsin,Devil’s Head,2026,495 ,995 ,500 ,300,70,Independent,,,,,,,,,6,,,,,,2,,8,"2, B",,,,U.S. - Midwest,,U.S. - Wisconsin,Devil’s Head,2026,495 ,995 ,500 ,300,70,Independent,,,,,,,,,6,,,,,,2,,8,"2, B",,,,U.S. - Midwest,,Canada - Quebec,Mont-Sainte Anne,2017,575 ,"2,625 ","2,050 ",547,209,Resorts of the Canadian Rockies,,1,,,,,,3,1,,,2,,,,2,9,7S,,,,,,,,,4-7,,,,Canada - East,,,Le Massif du Charlevoix,2022,118 ,"2,645 ","2,527 ",406,254,Independent,,1,,,,,,3,,,,,,2,,3,9,2,7,5B,"1-4, B, S",Canada - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - New Jersey,Big Snow American Dream,,,,160 ,4,0,Snow Partners,,,,,,,,,1,,,,,1,,2,4,,,,,U.S. - East,1-2B,,U.S. - New Mexico,Pajarito,"9,000 ","10,440 ","1,440 ",280,125,,,,,,,,,1,1,3,,,,,1,6,U,U,U,,,,,U.S. - West,Yes,,,,U.S. - Colorado,Loveland Basin,2024,"10,800 ","12,690 ","1,890 ","1,800",337,Independent,Public w/Aerial Lifts,,,,,,,,1,2,4,,,,,,,7,3SB,2S,2S,,$599,U.S. - West,,,U.S. - Utah,Brighton,2018,"8,755 ","10,500 ","1,745 ","1,050",502,Boyne Resorts,,,,,,1,,3,1,1,,,,,,2,8,3,,,,,,,,,,U,"1, -, 7, S",7,5B,"1-4, B, S",
,Murray Ridge,2026,"2,936 ","4,610 ","1,674 ",,,,Public - Surface Lifts Only,,,,,,,,,,,,1,,,1,,2,2,2,,,Canada - West,,,Revelstoke,2018,"1,680 ","7,300 ","5,620 ","3,121",540,Northland Properties Corporation,,1,,,,,,2,1,,,,,,,1,5,7,5B,"1-4, B, S",2,Canada - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Wisconsin,Granite Peak,2026,"1,242 ","1,900 ",658 ,400,60,Midwest Family Ski Resorts,,,,,,1,,2,,2,,,,,,2,7,7,"5, B","1-4, B, S",,U.S. - Midwest,,,Stoneham,2017,814 ,"1,946 ","1,132 ",336,169,Resorts of the Canadian Rockies,,,,,,,,1,3,,,,,,,2,6,7S,,,,,,,,,4-7,,,,Canada - East,,Chile,Valle Nevado,2015,"9,383 ","12,041 ","2,658 ","2,400",240,Mountain Capital Partners,,1,,,,,,1,1,1,2,1,6,,,3,16,"2, 26","7, 26, 27","5, 26, 27",,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mountain Creek,,440 ,"1,480 ","1,040 ",167,65,Snow Partners,,,,1,,,,2,2,1,1,,,,,2,9,,,,,U.S. - East,1-2,,U.S. - New Mexico,Sandia Peak,"8,678 ","10,378 ","1,700 ",300,117,1,,,,,,,,,,3,,,,1,,5,U,U,U,,,,,U.S. - West,Yes,,,,,Loveland Valley,2024,"10,640 ","11,450 ",810 ,,,Independent,Public w/Aerial Lifts,,,,,,,,,2,,,,,,,2,4,3SB,2S,2S,,,U.S. - West,,,U.S. - Washington,Snoqualmie: Alpental,2018,"3,140 ","5,420 ","2,280 ",875,428,Boyne Resorts,,,,,,,,1,,3,1,,,,,1,6,"3, S",,,,,,,,,,U,"1, -, 7, S","7, S, R","5, S, R, B","1-4, B, S",
,Phoenix Mountain,2023,"4,147 ","4,800 ",653 ,91,45,Independent,Public - Surface Lifts Only,,,,,,,,,,,,1,,,,,1,2,2,,,Canada - West,,,Silver Star,"2025, 2026","3,789 ","6,283 ","2,494 ","3,304",276,Pacific Group Resorts,,1,,,,1,,2,2,,,1,,,,3,10,7,"5, B","1-4, B, S",,Canada - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe - Austria,Hintertux,2025,"4,921 ","10,663 ","5,742 ",,354,Independent,,6,,,,3,,1,,1,1,7,,,,1,20,5CS,,,,,,,,,,,,,Europe - Austria,,Europe - France,Chamonix Mont-Blanc Valley,2022,"3,396 ","12,392 ","8,996 ","29,405",264,Compagnie des Alps,4,7,1,,,5,,3,11,3,,,,28,3,4,73,2,7,5,,Europe - France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - New York,Belleayre,,"2,025 ","3,429 ","1,404 ",171,141,New York State,,1,,,,,,1,3,,,,,,,4,9,,,,,U.S. - East,1-2MB,,U.S. - New Mexico,Sipapu,"8,200 ","9,255 ","1,055 ",215,185,,,,,,,,,1,2,1,,,,,2,6,U,U,U,,,,,U.S. - West,Yes,,,,,Ski Cooper,,"10,500 ","11,700 ","1,200 ",480,260,Independent,Public w/Aerial Lifts,,,,,,,,,,1,1,1,,1,,1,5,3,,,,$399,U.S. - West,2023,,,Snoqualmie: Summit,2018,"2,610 ","3,865 ","1,255 ","1,119",,Boyne Resorts,,,,,,,,2,5,3,5,,,,,4,19,"3, S",,,,,,,,,,U,"1, -, 7, S","7, S, R","5, S, R, B","1-4, B, S",
,Sasquatch,2020,"3,300 ","4,373 ","1,073 ",205,184,Independent,Public w/Aerial Lifts,,,,,,,,,1,1,1,,,,,,3,2,2,1-3,,Canada - West,,,Sun Peaks,2022,"4,117 ","7,060 ","2,894 ","4,270",237,Nippon Cable,,,,,,,,4,4,,,,,2,,4,14,7,5B,"1-4, B, S",2,Canada - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kitzsteinhorn,2025,"2,526 ","9,938 ","7,412 ",,295,Independent,1,5,,,,3,1,1,,,1,4,5,,,,23,5S,,,,,,,,,,,,,Europe - Austria,,,Megève,2024,"3,652 ","6,608 ","2,956 ",,126,Compagnie des Alps,2,10,,,,12,,6,12,2,2,,,49,5,8,108,2,7,5,,Europe - France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gore,,998 ,"3,560 ","2,562 ",453,125,New York State,,1,,,,,,3,6,1,,,1,,,2,14,,,,,U.S. - East,1-2MB,,U.S. - Oregon,Willamette Pass,"5,120 ","6,683 ","1,563 ",555,375,,,,,,1,,,,4,,,,,,1,6,U,U,UB,,,,,U.S. - West,Yes,,,,U.S. - Idaho,Bogus Basin,,"5,790 ","7,590 ","1,800 ","2,600",248,Independent,Public w/Aerial Lifts,,,,,,,,4,2,,1,,,,,3,10,3,,,,$549,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shames Mountain,2023,"2,300 ","3,901 ","1,601 ",252,480,Independent,Public w/Aerial Lifts,,,,,,,,,,,1,1,,,,,2,2,2,,,Canada - West,,Canada - Ontario,Blue Mountain,2018,750 ,"1,480 ",730 ,365,154,Alterra ,,,,,,5,,,1,1,,,,,,4,11,U,U,"1-4, B, S",,Canada - East,"$1,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mayrhofen,2025,"2,034 ","8,114 ","6,080 ",,315,Independent,2,6,,,3,11,1,3,,,,5,6,,7,16,60,5CS,,,,,,,,,,,,,Europe - Austria,,Japan (Hokkaido),Niseko United,2018,853 ,"3,937 ","3,084 ","2,150",669,Independent,,6,,,,2,1,5,1,,12,,,,,7,37,2,7,5B,"1-4, B, S",Japan (Hokkaido),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kissing Bridge,,"1,200 ","1,750 ",550 ,,180,Independent,,,,,,,,,2,1,3,,,,2,1,9,,,,,U.S. - East,1-2,,U.S. - Utah,Brian Head,"9,600 ","10,920 ","1,320 ",650,301,,,,,,,,2,,5,1,,,,,2,10,U,U,4SB,,,,,U.S. - West,Yes,,,,,Silver Mountain,2019,"4,100 ","6,300 ","2,200 ","1,600",328,CMR Lands,Public w/Aerial Lifts,,1,,,,,,,1,2,2,,,,,,6,3B,2B,2,,$509,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada - Newfoundland & Labrador,Marble Mountain,2025,33 ,"1,791 ","1,758 ",230,168,Independent,,,,,,,,,1,2,,,,,,,2,5,2B,2,,,Canada - East,,Canada - Quebec,Le Massif du Charlevoix,2025,118 ,"2,645 ","2,527 ",406,254,Independent,,1,,,,,,3,,,,,,2,,3,9,7,5B,"1-4, B, S",2,Canada - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saalbach,2025,"2,608 ","6,890 ","4,282 ",,236,Independent,,29,,,6,12,,2,2,,,3,12,,2,1,69,5S,,,,,,,,,,,,,Europe - Austria,,New Zealand,Coronet Peak,2016,"3,829 ","5,344 ","1,516 ",692,79,Independent,,,,,,1,1,1,,,,1,,,,4,8,"2, S, 26","7, S, 26, 27","5, S, 26, 27",,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oak Mountain,,"1,750 ","2,400 ",650 ,100,120,Independent,,,,,,,,,1,,,1,,,,2,4,,,,,U.S. - East,1-2B,,U.S. - Utah,Nordic Valley,"5,365 ","7,060 ","1,695 ",500,275,,,,,,1,,,,1,2,,,,,1,5,U,U,UB,,,,,U.S. - West,Yes,,,,U.S. - Montana,Blacktail,2022,"5,236 ","6,676 ","1,440 ","1,000",250,Larry Scrivanich,Public w/Aerial Lifts,,,,,,,,,,1,2,,,,,1,4,3B,2,2,1-3,$489,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Smokey Mountain Ski Club,2025,"1,952 ","2,772 ",820 ,80,118,Independent,,,,,,,,,,1,,,,,2,,1,4,2,2,1-3,,Canada - East,,,Mont Tremblant,2018,,,"2,116 ",755,192,Alterra ,,2,,1,,,,6,2,1,,,,,,2,14,U,U,"1-4, B, S",,Canada - East,"$1,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silvretta Montafon,2025,"2,297 ","7,972 ","5,675 ",,180,Independent,2,8,,,3,5,,,3,,6,2,2,,1,2,35,5C,,,,,,,,,,,,,Europe - Austria,,,The Remarkables,2016,"5,282 ","6,375 ","1,093 ",951,146,Independent,,,,,,3,,,1,,,,,,,3,7,"2, S, 26","7, S, 26, 27","5, S, 26, 27",,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plattekill,,"2,400 ","3,500 ","1,100 ",119,175,Independent,,,,,,,,,,1,1,,,,,1,3,,,,,U.S. - East,1-2B,,U.S. - Utah,Sundance,"6,100 ","8,250 ","2,150 ",520,275,,,,,,,,2,4,1,,,,,,3,10,3,3,,,,,,U.S. - West,Yes,,,,U.S. - New Mexico,Angel Fire Resort,,"8,600 ","10,677 ","2,077 ",560,210,Independent,Public w/Aerial Lifts,,,,,,1,,2,1,,2,,,,,2,8,3,,,,,U.S. - West,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada - Nova Scotia,Cape Smokey,2024,50 ,"1,050 ","1,000 ",150,236,Cape Smokey Holding,,,1,,,,,,,,,,,,1,,,2,2,2,,,Canada - East,,Chile,Valle Nevado,2018,"9,383 ","12,041 ","2,658 ","2,400",240,Mountain Capital Partners,,1,,,,,,1,1,1,2,1,6,,,3,16,"7, 26, 27","5, 26, 27",,"2, 26",Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ski Arlberg,2016,"4,278 ","9,222 ","4,944 ",,355,Independent,5,12,,,1,17,1,9,4,,11,6,15,,3,1,85,3CLo,,,,,,,,,,,,,Europe - Austria,,U.S. - California,Sugar Bowl,2022,"6,883 ","8,383 ","1,500 ","1,650",429,Independent,,1,,,,,,5,3,1,,,,1,,1,12,2,,,,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whiteface,2025,"1,220 ","4,386 ","3,166 ",299,181,New York State,,1,,,,,,2,3,1,2,,,,,2,11,2,,,,U.S. - East,1-2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Oregon,Mount Hood Skibowl,,"3,650 ","5,027 ","1,377 ",960,250,Independent,Public w/Aerial Lifts,,,,,,,,,,,4,,,1,2,2,9,3B,,,,,U.S. - West,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada - Ontario,Calabogie Peaks,2022,505 ,"1,285 ",780 ,80,37,Independent,,,,,,,,,,2,,,,,,,1,3,2,2,,,Canada - East,,China - Heibei,Yunding Snow Park (Genting Resort Secret Garden),2025,"5,584 ","6,890 ","1,306 ",257,394,Independent,,,,,,1,1,2,1,,,,,,,3,8,7,5,,,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sölden,2025,"4,429 ","10,958 ","6,529 ",,230,Independent,,7,,,3,4,,4,1,,1,6,1,,,2,30,5,,,,,,,,,,,,,Europe - Austria,,U.S. - Colorado,Aspen Highlands,2012,"8,040 ","11,675 ","3,635 ","1,010",260,Aspen Skiing Company,,,,,,,,3,,2,1,,,,,,6,2S,7S,,,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timberline Lodge ,,"3,985 ","8,484 ","4,499 ","1,685",540,Independent,Public w/Aerial Lifts,,,,,,,,6,,,2,,,,,1,9,3B,,,,,U.S. - West,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hockley Valley,2025,"1,014 ","1,388 ",374 ,30,100,Independent,Public w/Aerial Lifts,,,,,,,,,2,,,,,,1,1,4,2,2,,,Canada - East,,Europe - Andorra,Grandvalira Resorts,2022,,,"3,312 ","7,599",,Independent,,,,,,,,,,,,,,,,,123,7,5,,,Europe - Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe - France,Les 3 Vallées,2016,"3,609 ","10,597 ","6,988 ","29,950",,Compagnie des Alps,4,30,1,2,1,39,,3,,2,,,35,,3,24,149,7C,,,,,,,,,,,,,Europe - France,,,Aspen Mountain,2012,"7,945 ","11,262 ","3,317 ",826,248,Aspen Skiing Company,,1,,,,,,3,,,1,,,,,,6,2S,7S,,,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Washington,Mission Ridge,2019,"4,570 ","6,820 ","2,250 ","2,000",200,Larry Scrivanich,Public w/Aerial Lifts,,,,,,,,1,,,3,,,,2,1,7,3B,2,2,,$849,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loch Lomond,2022,699 ,"1,450 ",751 ,70,80,Independent,,,,,,,,,,1,,2,,,,,,3,2,2,,,Canada - East,,Europe - Austria,Ischgl,2025,"4,498 ","9,423 ","4,925 ","1,273",244,Independent,,,,,,,,,,,,,,,,,,7,5,,,Europe - Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe - Italy,Skirama Dolomiti,2016,,,"5,689 ",,110,Independent,,,,,,,,,,,,,,,,,150,7C,,,,,,,,,,,,,Europe - Italy,,,Buttermilk,2012,"7,870 ","9,900 ","2,030 ",435,200,Aspen Skiing Company,,,,,,,,3,,,1,,,,1,1,6,2S,7S,,,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White Pass,2019,"4,500 ","6,500 ","2,000 ","1,402",400,Independent,Public w/Aerial Lifts,,,,,,,,2,2,1,,,,,,3,8,3B,2B,2,,,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
